,YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STATEFIP,COUNTYFIP,STRATA,GQ,OWNERSHP,OWNERSHPD,MORTGAGE,MORTGAG2,MORTAMT1,MORTAMT2,RENT,RENTGRS,HHINCOME,PERNUM,PERWT,SEX,AGE,IND,INCTOT,INCWAGE
6911,2017,201701,402711,2.017E+12,164,2.017E+12,15,1,20015,1,1,13,3,1,1200,0,0,0,184000,1,164,2,41,170,81000,81000
6912,2017,201701,402711,2.017E+12,164,2.017E+12,15,1,20015,1,1,13,3,1,1200,0,0,0,184000,2,178,1,47,8190,103000,103000
6913,2017,201701,402712,2.017E+12,11,2.017E+12,15,3,30415,1,1,12,1,0,0,0,0,0,174810,1,11,1,54,7390,50000,30000
6914,2017,201701,402712,2.017E+12,11,2.017E+12,15,3,30415,1,1,12,1,0,0,0,0,0,174810,2,10,2,12,0,9999999,999999
6915,2017,201701,402712,2.017E+12,11,2.017E+12,15,3,30415,1,1,12,1,0,0,0,0,0,174810,3,14,1,8,0,9999999,999999
6916,2017,201701,402712,2.017E+12,11,2.017E+12,15,3,30415,1,1,12,1,0,0,0,0,0,174810,4,25,1,66,0,22800,0
6917,2017,201701,402712,2.017E+12,11,2.017E+12,15,3,30415,1,1,12,1,0,0,0,0,0,174810,5,20,1,61,8590,0,0
6918,2017,201701,402712,2.017E+12,11,2.017E+12,15,3,30415,1,1,12,1,0,0,0,0,0,174810,6,20,1,49,770,28000,28000
6919,2017,201701,402712,2.017E+12,11,2.017E+12,15,3,30415,1,1,12,1,0,0,0,0,0,174810,7,20,1,46,7290,74010,74000
6920,2017,201701,402713,2.017E+12,68,2.017E+12,15,3,30715,1,1,13,3,1,1300,0,0,0,65850,1,68,2,63,5070,38010,38000
6921,2017,201701,402713,2.017E+12,68,2.017E+12,15,3,30715,1,1,13,3,1,1300,0,0,0,65850,2,66,1,64,0,22040,0
6922,2017,201701,402713,2.017E+12,68,2.017E+12,15,3,30715,1,1,13,3,1,1300,0,0,0,65850,3,103,2,36,0,5800,0
6923,2017,201701,402714,2.017E+12,81,2.017E+12,15,3,30415,1,1,13,3,1,1300,0,0,0,140700,1,82,2,31,7280,52300,52000
6924,2017,201701,402714,2.017E+12,81,2.017E+12,15,3,30415,1,1,13,3,1,1300,0,0,0,140700,2,140,2,30,6070,35000,35000
